название тура,slug,ссылка max,статус
"Рассвет на Ай-Петри, парад тюльпанов и дворцы Крыма",rassvet-aj-petri-parad-tyulpanov-dvorcy,https://max.ru/id230814735866_2_bot?startapp=127,тур в архиве
Рафтинг и весна в Лаго-Наки,rafting-vesna-lago-naki,https://max.ru/id230814735866_2_bot?startapp=128,
Релакс-тур: замок Шато де Талю и Геленджик,relaks-shato-de-talyu-gelendzhik,https://max.ru/id230814735866_2_bot?startapp=135,
Родители с детьми в Петербурге — 7 дней,peterburg-roditeli-s-detmi-7-dnej,https://max.ru/id230814735866_2_bot?startapp=37,
"Самая красивая дорога России: Джилы-Су, Чегем и подножие Эльбруса",krasivaya-doroga-rossii-i-chegem-2-dnya,https://max.ru/id230814735866_2_bot?startapp=107,
Санкт-Петербург и Карелия за 9 дней,spb-kareliya-9-dnej,https://max.ru/id230814735866_2_bot?startapp=90,
Санкт-Петербург — шедевры Северной столицы,peterburg-shedevry-severnoj-stolicy,https://max.ru/id230814735866_2_bot?startapp=27,
Свято-Михайловский монастырь и термальный спа-комплекс «Благодать»,svyato-mikhajlovskij-monastyr-i-termalnyj-spa-kompleks-blagodat,https://max.ru/id230814735866_2_bot?startapp=170,
"Свято-Михайловский Монастырь, гора Физиабго и ущелье Мишоко",svyato-mikhajlovskij-monastyr-gora-fiziabgo-i-ushchele-mishoko,https://max.ru/id230814735866_2_bot?startapp=177,
Северная Осетия на выходные,severnaya-osetiya-weekend,https://max.ru/id230814735866_2_bot?startapp=10,тур в архиве
Северная Осетия — полное погружение,severnaya-osetiya-polnoe-pogruzhenie,https://max.ru/id230814735866_2_bot?startapp=158,
Семейные каникулы в Петербурге,peterburg-semejnye-kanikuly,https://max.ru/id230814735866_2_bot?startapp=28,
"Сказочное побережье: Старый Парк, Шато-Пино и Абрау-Дюрсо",skazochnoe-poberezhe-staryj-park-shato-pino-abrau,https://max.ru/id230814735866_2_bot?startapp=120,
"Скала Чёртов Палец, Савранская канатная дорога и Лаго-Наки",chertov-palec-savranskaya-kanatnaya-lago-naki,https://max.ru/id230814735866_2_bot?startapp=140,тур в архиве
Сокровища Грузии: от винных подвалов до древних храмов,sokrovishcha-gruzii-ot-vinnykh-podvalov-do-drevnikh-khramov,https://max.ru/id230814735866_2_bot?startapp=165,
Солнечная Грузия: большой тур от Тбилиси до Батуми за 9 дней,solnechnaya-gruziya-bolshoj-tur-9-dnej,https://max.ru/id230814735866_2_bot?startapp=116,
Сочи + Абхазия из Ростова,sochi-abhazia-4-dnya,https://max.ru/id230814735866_2_bot?startapp=16,
Сочи на выходные,sochi-na-vyhodnye,https://max.ru/id230814735866_2_bot?startapp=25,тур в архиве
Стамбул Лайт: 5 дней с сопровождающим,stambul-lajt-5-dnej,https://max.ru/id230814735866_2_bot?startapp=88,
